         Name                 R23             OIII_Hb                 O32               OII_Hb               Ne_OII            Ne_OIII               upR23           upOIII_Hb               upO32            upOII_Hb            upNe_OII           upNe_OIII       lowR23   lowOIII_Hb       lowO32     lowOII_Hb    lowNe_OII    lowNe_OIII
------------- ------------------- ------------------- ------------------- -------------------- -------------------- ------------------ ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------ ------------ ------------ ------------- ------------ -------------
       CSWA20            8.135259            8.115015           7.9139686             7.864104             7.886572          7.6000004          0.19819322          0.07229583         0.065677114          0.07286329         0.117132604           1.3999996   0.53525865   0.51501465   0.13097662     0.1062415   0.11704104  3.073357e-07
Abell_860_359            8.059338            8.001016            8.027438              8.02936                  nan                nan         0.057679165          0.04709071        0.0021526848         0.017101567                 nan                 nan  0.059665937   0.06582742  0.002310297   0.016172606          nan           nan
   Abell_22.3             8.08753            8.010351            8.054337             8.069027                  nan                nan         0.059203513         0.057472363         0.014984017         0.036568746                 nan                 nan    0.0751858   0.06684199  0.015434977    0.03198763          nan           nan
        RCSGA            7.995785            8.152394            8.245594                  nan             8.279771                9.0         0.010027921        0.0016018609       0.00026645325                 nan        0.0020769082       4.3998583e-08  0.012016184 0.0016702954 0.0002719016           nan  0.002220142  3.268917e-07
   A1689_31.1                 7.6            8.150581           7.9477034            7.8911667             8.071395                9.0        9.198855e-10        0.0009919906        0.0006428946        0.0007126343         0.003108998       1.0317813e-07 7.162537e-11 0.0012544474   0.00063369 0.00073555455 0.0033853452 9.3350934e-07
   SMACS_0304            8.159073            8.165818            8.231128             8.276272             8.301924           8.999844          0.09463086            0.055927         0.009855178          0.06680085          0.69807607       0.00015580229   0.09748668  0.056643993  0.011217188    0.05606451     0.625425     1.3998437
    MACS_0451            8.382461            8.231001            7.979177            7.8854384                  nan                nan         0.047405485         0.035497148        0.0023265271         0.017592087                 nan                 nan   0.05714774  0.036297083  0.002600653   0.016992718          nan           nan
 COSMOS_12805            8.162715            8.081935            8.183267             8.240254                  nan                nan          0.11534885          0.10756674         0.011218852         0.081569545                 nan                 nan  0.115156375   0.10379432  0.007475502   0.083704144          nan           nan
        BX660           8.0969715            8.046533           7.9431725            7.9515944                  nan                nan         0.085335426          0.08045985         0.012549078         0.045780007                 nan                 nan   0.12651876   0.08858505  0.012648766   0.038440175          nan           nan
         BX74            8.069664           7.9995584            7.955999             8.003255                  nan                nan          0.14985159          0.09119558         0.026639044          0.07110933                 nan                 nan   0.30968422   0.06721415   0.03458402    0.06607751          nan           nan
        BX418            8.120691            8.029828           7.9499693             7.957118                  nan                nan           0.1078707         0.097150475         0.011661347         0.047268707                 nan                 nan   0.13381492   0.08281268  0.011153919    0.03782023          nan           nan
    S16-stack            8.162031            8.200484            8.251624              8.28718             8.218681          7.6000004           0.0861826         0.044024304         0.009569379           0.0672528          0.09004363           1.3999997  0.077392034  0.048792914  0.010741175    0.05485504   0.05784701 2.2351226e-07
  COSMOS-1908           7.8425574            7.801103            7.817191            7.8436074            7.8645377                9.0          0.03459692         0.012275161          0.01554086         0.015083651         0.022887237       2.9960283e-08  0.038836796  0.021865753  0.016218306   0.014821802   0.02393147 2.9275336e-07
 the_Lynx_arc            7.831929                 nan            7.659358             7.731749             7.621165          7.6000004          0.03142613                 nan         0.008295989        6.217249e-15          0.11117054           1.3999995  0.028798304          nan 0.0069967564  6.217249e-15  0.021164747 5.1714636e-07
   SMACS_2031            8.283789             8.14741           7.9572535             7.901306             7.969671                9.0           0.0296168         0.017648024         0.018871414         0.017897617          0.03375512       6.9590214e-08    0.6837883  0.017827347  0.020364461   0.019064097   0.03539846           1.4
    SGAS_1050                 nan                 nan           7.8767123             7.924882             8.008071                9.0                 nan                 nan        0.0045279525        0.0049444363          0.02943201        9.470886e-08          nan          nan 0.0051779086   0.005471337   0.02219188  9.670337e-07
         MEAN 0.14900935791943237 0.15802840004972646  0.0517508880539197 0.058146859094042526 0.024131476273285282 0.5328045318288407 0.07313832966617421 0.07615950568377737 0.06990989459627865 0.06271906671024523 0.08742304011358477 0.24980589966324987          0.0          0.0          0.0           0.0          0.0           0.0
          STD  0.2993814715298831   0.295818971070951   0.266897917088593  0.24680761925594427   0.2743532057080031 0.7212628513688553 0.07060798815403711 0.05460995697043334 0.04823454627407124 0.04310007874685168 0.06324260355233721 0.12280385592129331          0.0          0.0          0.0           0.0          0.0           0.0
          MAE 0.21036299116173146 0.23388926179549868 0.19824492148909778  0.18966004333736547    0.215676952665987 0.8053772360197828 0.06550561436548763  0.0639519535436005  0.0447240449515761 0.04516791531308143 0.05742642587821443 0.13115850472349508          0.0          0.0          0.0           0.0          0.0           0.0
